Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;PRODAW__Wert_der_zum_Absatz_bestimmten_Produktion__EUR;PRO005__Menge_der_zum_Absatz_bestimmten_Produktion_(BM)__Anzahl;PRO006__Gewicht_der_zum_Absatz_bestimmten_Produktion__t;PRO007__Gewicht_der_zum_Absatz_bestimmten_Produktion__kg;PRO008__Menge_der_zum_Absatz_bestimmten_Produktion__Stück;PRO009__Menge_der_Gesamtproduktion_(BM)__Anzahl;PRO010__Gewicht_der_Gesamtproduktion__t;PRO011__Gewicht_der_Gesamtproduktion__kg;PRO012__Menge_der_Gesamtproduktion__Stück;UNT006__Unternehmen_mit_zum_Absatz_bestimmter_Produktion__Anzahl;UNT005__Unternehmen_mit_Produktion__Anzahl
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089111000;Natürliche Aluminium-,Calciumphosphat, Phosphatkr.;-;-;-;-;-;-;-;-;-;-;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089112000;Schwefelkies, n. geröst., Schwefel, roh, n. raff.;-;-;-;-;-;-;.;-;-;-;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089119000;Andere chemische Minerale;300145000;-;1764194;-;-;-;.;-;-;11;11
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089210101;Schwarztorf f.gärtn.Zw.,lose od.verpackt (1000 m3);11344000;818;-;-;-;818;-;-;-;5;5
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089210103;Blumenerde für Hobby, verpa.,auch aggl.  (1000 m3);91789000;3184;-;-;-;3184;-;-;-;9;9
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089210106;Weißtorf für gärtn. Zw.,lose als Rohsto. (1000 m3);2097000;155;-;-;-;155;-;-;-;4;4
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089210109;Gärtn. Kultursubstrate, lose, aufgedüngt (1000 m3);132188000;4014;-;-;-;4014;-;-;-;13;13
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089310001;Steinsalz (bergmännisch gewonnen);354456000;-;7374654;-;-;-;.;-;-;7;7
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089310005;Siedesalz, reines Natriumchlorid;90512000;-;730928;-;-;-;.;-;-;4;4
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089310008;Meersalz aus Sonnenverdampf., Salzsole (NaCI-Geh.);33760000;-;9153686;-;-;-;9153686;-;-;4;4
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089910000;Naturbitumen, -asphalt, Asphaltite,Asphaltgestein;-;-;-;-;-;-;-;-;-;-;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089921000;Diamanten, Edelsteine, roh, gesägt, gespalten (Kt);-;-;-;-;-;-;-;-;-;-;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089922000;Industriediamanten, Bimsstein, Schmirgel, Korund;.;-;.;-;-;-;.;-;-;1;1
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089929000;Andere mineralische Stoffe, a.n.g.;.;-;392966;-;-;-;.;-;-;16;18
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-089999000;Veredlung v. Stein-,Erden-,sonst. Bergbauerzeugn.;52841000;-;-;-;-;-;-;-;-;12;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-091011000;Bohrungsarbeiten für die Erdöl- u. Erdgasgewinnung;98924000;-;-;-;-;-;-;-;-;5;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-091012000;Installationsarbeiten,Repar.arbeiten v.Bohranlagen;179582000;-;-;-;-;-;-;-;-;13;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-091013000;Verflüssigung, Rückumwandlung v. Erdgas zu Transp.;-;-;-;-;-;-;-;-;-;-;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-099011000;Dienstleistungen für die Steinkohlegewinnung;.;-;-;-;-;-;-;-;-;4;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-099019000;Dienstleistungen f. sonst. Bergb.,Stein-,Erdengew.;.;-;-;-;-;-;-;-;-;2;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-101111403;Rindfleisch v. Kälbern,Jungrindern,frisch,gekühlt;239355000;-;-;86179487;-;-;-;86738166;-;245;248
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-101111405;Anderes Rindfleisch, frisch oder gekühlt;1732611000;-;-;819327458;-;-;-;888819147;-;296;300
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-101111900;Andere frische oder gekühlte Rindfleischteile;2197732000;-;-;675248778;-;-;-;678202015;-;387;388
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-101112300;Schweinekörper, frisch oder gekühlt;5993389000;-;-;6076728807;-;-;-;6176780037;-;324;335
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-101112500;Schweineschinken,-schult.,Teile,m.Kno.,fr.od.gekü.;1711415000;-;-;1350791504;-;-;-;1365682311;-;197;203
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-101112900;Andere frische oder gekühlte Schweinefleischteile;4152496000;-;-;2462730907;-;-;-;2478186607;-;452;455
